source_text;ipa
rigisaade;r i ɡ i s aː d e
rigisi;r i ɡ i s i
riiba;r iː b a
riibaade;r iː b aː d e
riibande;r iː b a n d e
riiɗude;r iː ɗ u d e
riikeede;r iː k eː d e
riiku;r iː k u
riimayɓe;r iː m a j ɓ e
riiwude;r iː w u d e
rikaade;r i k aː d e
rikke;r i k k e
rikku;r i k k u
rimarɓe;r i m a r ɓ e
rimare;r i m a r e
rimɓe;r i m ɓ e
rimdude;r i m d u d e
rimɗude;r i m ɗ u d e
rimeede;r i m eː d e
rimidegol;r i m i d e ɡ o l
rimirdu;r i m i r d u
rimndude;r i m n d u d e
rimrudu;r i m r u d u
rimteede;r i m t eː d e
rimtinirdu;r i m t i n i r d u
rimtude;r i m t u d e
rimude;r i m u d e
rimugol;r i m u ɡ o l
rimugol-tergal;r i m u ɡ o l - t e r ɡ a l
rinndinde;r i n n d i n d e
rinndinnde;r i n n d i n n d e
rinndude;r i n n d u d e
rippude;r i p p u d e
roɓɓere;r o ɓ ɓ e r e
roɓɓere-ɓiɗɗo;r o ɓ ɓ e r e - ɓ i ɗ ɗ o
roɓinannde;r o ɓ i n a n n d e
roɓind-o;r o ɓ i n d - o
roki;r o k i
Roma;r o m a
Roma'en;r o m a ʔ e n
rommaaki;r o m m aː k i
rommet;r o m m e t
ronkinde;r o n k i n d e
ronkude;r o n k u d e
ronndaade;r o n n d aː d e
ronnde;r o n n d e
ronndude;r o n n d u d e
rononde;r o n o n d e
ronude;r o n u d e
ronƴalde;r o n ʔʲ a l d e
roogo;r oː ɡ o
roojoroojowal;r oː ɟ o r oː ɟ o w a l
rookaade;r oː k aː d e
rookaade yaafee;r oː k aː d e   j aː f eː
rookagol;r oː k a ɡ o l
rooko;r oː k o
roondaade;r oː n d aː d e
roondude;r oː n d u d e
rooŋre;r oː ŋ r e
roosaade;r oː s aː d e
rosa;r o s a
rotere;r o t e r e
rottude;r o t t u d e
rowanin;r o w a n i n
royude;r o j u d e
rubbere;r u b b e r e
rubbitingol;r u b b i t i ŋ ɡ o l
rubbunnde;r u b b u n n d e
rubilde;r u b i l d e
ruccaade;r u c c aː d e
ruɗaade;r u ɗ aː d e
ruɗɗitinde;r u ɗ ɗ i t i n d e
rufaade;r u f aː d e
rufude;r u f u d e
ruggaade;r u ɡ ɡ aː d e
ruggugol;r u ɡ ɡ u ɡ o l
runnude;r u n n u d e
runnyude;r u n n j u d e
rutt-a;r u t t - a
ruttaade;r u t t aː d e
ruubu;r uː b u
ruuɗaade;r uː ɗ aː d e
ruuɗineede e haanerem;r uː ɗ i n eː d e   e   h aː n e r e m
ruuhu;r uː h u
Ruuhu Ceniiɗo;r uː h u   c e n iː ɗ o
ruulde;r uː l d e
ruumude;r uː m u d e
ruunde;r uː n d e
ruusude;r uː s u d e
ruuyo;r uː j o
ruuyude;r uː j u d e
sa'aa;s a ʔ aː
sa'iiri;s a ʔ iː r i
sa'ude;s a ʔ u d e
saa'a;s aː ʔ a
saabaade;s aː b aː d e
saabanaade;s aː b a n aː d e
saabe;s aː b e
saabeere;s aː b eː r e
saabunnde;s aː b u n n d e
saaɓaade;s aː ɓ aː d e
saaɓannde;s aː ɓ a n n d e
saadaade;s aː d aː d e
Saadaajo;s aː d aː ɟ o
saadaare;s aː d aː r e
saadewol;s aː d e w o l
saaɗude;s aː ɗ u d e
saafude;s aː f u d e
saahaade;s aː h aː d e
saahel;s aː h e l
saahelinke;s aː h e l i n k e
saakude;s aː k u d e
saakuuru;s aː k uː r u
saamdude;s aː m d u d e
saaminde;s aː m i n d e
saamondirol;s aː m o n d i r o l
sa'aa;s a ʔ aː
sa'iiri;s a ʔ iː r i
sa'ude;s a ʔ u d e
saa'a;s aː ʔ a
saabaade;s aː b aː d e
saabanaade;s aː b a n aː d e
saabe;s aː b e
saabeere;s aː b eː r e
saabunnde;s aː b u n n d e
saaɓaade;s aː ɓ aː d e
saaɓannde;s aː ɓ a n n d e
saadaade;s aː d aː d e
Saadaajo;s aː d aː ɟ o
saadaare;s aː d aː r e
saadewol;s aː d e w o l
saaɗude;s aː ɗ u d e
saafude;s aː f u d e
saahaade;s aː h aː d e
saahel;s aː h e l
saahelinke;s aː h e l i n k e
saakude;s aː k u d e
saakuuru;s aː k uː r u
saamdude;s aː m d u d e
saaminde;s aː m i n d e
saamondirol;s aː m o n d i r o l
saamtude;s aː m t u d e
saamude;s aː m u d e
saamugol;s aː m u ɡ o l
saamugol-reedu;s aː m u ɡ o l - r eː d u
saaneede;s aː n eː d e
saanude;s aː n u d e
saara;s aː r a
saaraa;s aː r aː
saare;s aː r e
saari;s aː r i
saarude;s aː r u d e
saat-o;s aː t - o
saataade;s aː t aː d e
saatagol;s aː t a ɡ o l
saate;s aː t e
saattinde;s aː t t i n d e
saatude;s aː t u d e
saawandere;s aː w a n d e r e
saawirde;s aː w i r d e
saawoore;s aː w oː r e
saawtinde;s aː w t i n d e
saawude;s aː w u d e
saawurde;s aː w u r d e
saaya;s aː j a
saayinde;s aː j i n d e
saayo jilee;s aː j o   ɟ i l eː
saayo ndiyam;s aː j o   n d i j a m
saayogooru;s aː j o ɡ oː r u
saayugol;s aː j u ɡ o l
saaƴo;s aː ʔʲ o
saaƴude;s aː ʔʲ u d e
sabaabu;s a b aː b u
sabboondu;s a b b oː n d u
sabgaare;s a b ɡ aː r e
sabu;s a b u
saɓɓintinde;s a ɓ ɓ i n t i n d e
saɓɓitaade;s a ɓ ɓ i t aː d e
saɓɓitoroohi;s a ɓ ɓ i t o r oː h i
saɓu;s a ɓ u
sadaajo;s a d aː ɟ o
sadaɓere;s a d a ɓ e r e
sadaka;s a d a k a
saɗawere;s a ɗ a w e r e
saɗɗa;s a ɗ ɗ a
saɗɗinde;s a ɗ ɗ i n d e
safa;s a f a
safaare;s a f aː r e
safaare ɓeydoore semmbe;s a f aː r e   ɓ e j d oː r e   s e m m b e
safaare keefam;s a f aː r e   k eː f a m
safaare moɗeteende;s a f aː r e   m o ɗ e t eː n d e
safaare waroore huɗo;s a f aː r e   w a r oː r e   h u ɗ o
safi;s a f i
safiɗinde;s a f i ɗ i n d e
safiyaaku;s a f i j aː k u
safoko;s a f o k o
safude;s a f u d e
sagargaawo;s a ɡ a r ɡ aː w o
saggaade;s a ɡ ɡ aː d e
sagginde;s a ɡ ɡ i n d e
saggitorde;s a ɡ ɡ i t o r d e
saggo;s a ɡ ɡ o
saggude;s a ɡ ɡ u d e
sagiire;s a ɡ iː r e
sago;s a ɡ o
sago maa paltiiɗo;s a ɡ o   m aː   p a l t iː ɗ o
sahaa;s a h aː
sakala;s a k a l a
sakiike;s a k iː k e
sakiraagu;s a k i r aː ɡ u
sakitaade;s a k i t aː d e
sakitiiɗo;s a k i t iː ɗ o
sakkaade;s a k k aː d e
sakkagol;s a k k a ɡ o l
sakkagol nyaw;s a k k a ɡ o l   n j a w
sakkitaade;s a k k i t aː d e
sakkitinde;s a k k i t i n d e
sakkitirde;s a k k i t i r d e
sakkitirdi;s a k k i t i r d i
sakko;s a k k o
sakkude;s a k k u d e
sakoosi;s a k oː s i
salaade;s a l aː d e
salaare nde luttataa;s a l aː r e   n d e   l u t t a t aː
salaati;s a l aː t i
salagol fes;s a l a ɡ o l   f e s
salagol gosude;s a l a ɡ o l   ɡ o s u d e
salagol naatude ley wotto;s a l a ɡ o l   n aː t u d e   l e j   w o t t o
salagol suɓagol;s a l a ɡ o l   s u ɓ a ɡ o l
salanaade laamu;s a l a n aː d e   l aː m u
salanga;s a l a ŋ ɡ a
salanka;s a l a n k a
salɗinde;s a l ɗ i n d e
salgaade;s a l ɡ aː d e
salla;s a l l a
sallifana;s a l l i f a n a
salligaade;s a l l i ɡ aː d e
salminde;s a l m i n d e
salndu1;s a l n d u 1
salndu2;s a l n d u 2
salndu3;s a l n d u 3
salndu ɗaɗi ngaandi;s a l n d u   ɗ a ɗ i   ŋ ɡ aː n d i
salndu maayo;s a l n d u   m aː j o
salndu-bumpuƴƴe;s a l n d u - b u m p u ʔʲ ʔʲ e
salndu-kuufe;s a l n d u - k uː f e
salndu-maate;s a l n d u - m aː t e
saltaade;s a l t aː d e
samandiire;s a m a n d iː r e
Samariya;s a m a r i j a
samasammboonde;s a m a s a m m b oː n d e
Sammba;s a m m b a
sammbaajo;s a m m b aː ɟ o
Sammbo;s a m m b o
sammeere;s a m m eː r e
samminde;s a m m i n d e
sammude;s a m m u d e
samndaade;s a m n d aː d e
samndondirde;s a m n d o n d i r d e
samndu;s a m n d u
sampiyon;s a m p i j o n
sampude;s a m p u d e
sampugol;s a m p u ɡ o l
samsa;s a m s a
samsammoondu;s a m s a m m oː n d u
samtande;s a m t a n d e
samtude;s a m t u d e
samude;s a m u d e
samuru;s a m u r u
sanaa;s a n aː
sancaade;s a n c aː d e
sanceede;s a n c eː d e
sancude;s a n c u d e
sangalde;s a ŋ ɡ a l d e
sank-a;s a n k - a
sankitaade;s a n k i t aː d e
sankitaare;s a n k i t aː r e
sankitande;s a n k i t a n d e
sankitinde;s a n k i t i n d e
sanndu;s a n n d u
sanne;s a n n e
sannyude;s a n n j u d e
santere1;s a n t e r e 1
santere2;s a n t e r e 2
santigaraam;s a n t i ɡ a r aː m
santiliitar;s a n t i l iː t a r
santimeeter;s a n t i m eː t e r
santingaaru;s a n t i ŋ ɡ aː r u
sanyo kelme;s a n j o   k e l m e
sanyude;s a n j u d e
saŋalde;s a ŋ a l d e
saŋasaŋalde;s a ŋ a s a ŋ a l d e
sapannde;s a p a n n d e
sappaade;s a p p aː d e
sappaare;s a p p aː r e
sappanaade;s a p p a n aː d e
sappande;s a p p a n d e
sappo;s a p p o
sappo e go'o;s a p p o   e   ɡ o ʔ o
sappo e jeegom;s a p p o   e   ɟ eː ɡ o m
sappo e joy;s a p p o   e   ɟ o j
sappo e nay;s a p p o   e   n a j
sappoɓerde;s a p p o ɓ e r d e
sappooru;s a p p oː r u
sappordu;s a p p o r d u
sappori;s a p p o r i
saraade;s a r aː d e
saraf;s a r a f
saragol;s a r a ɡ o l
Saratu;s a r a t u
Saray;s a r a j
sardaade;s a r d aː d e
sardiŋe;s a r d i ŋ e
sardiŋe lu’ooji;s a r d i ŋ e   l u ’ oː ɟ i
sarɗi1;s a r ɗ i 1
sarɗi2;s a r ɗ i 2
sarɗi wottooji;s a r ɗ i   w o t t oː ɟ i
sarɗiiji binndi;s a r ɗ iː ɟ i   b i n n d i
sarɗiiji gollitirɗi;s a r ɗ iː ɟ i   ɡ o l l i t i r ɗ i
sarɗiiji laamu potondiral;s a r ɗ iː ɟ i   l aː m u   p o t o n d i r a l
sarɗiiji njoƴƴini;s a r ɗ iː ɟ i   n ɟ o ʔʲ ʔʲ i n i
sarɗinaa;s a r ɗ i n aː
sarɗinere;s a r ɗ i n e r e
sarɗingol;s a r ɗ i ŋ ɡ o l
sareede;s a r eː d e
saretti;s a r e t t i
sariya;s a r i j a
sariya bonɗo;s a r i j a   b o n ɗ o
sariya e tefeede;s a r i j a   e   t e f eː d e
sariya finansi;s a r i j a   f i n a n s i
sariyanke;s a r i j a n k e
sariyankooɓe;s a r i j a n k oː ɓ e
sariyankooɓe ndaraniiɓe heɓa sariya rewee;s a r i j a n k oː ɓ e   n d a r a n iː ɓ e   h e ɓ a   s a r i j a   r e w eː
sariyankoore dowuure;s a r i j a n k oː r e   d o w uː r e
sariyankoore fu dowuure;s a r i j a n k oː r e   f u   d o w uː r e
sarkaade;s a r k aː d e
sarla;s a r l a
sarneede;s a r n eː d e
sarnude;s a r n u d e
saroraade;s a r o r aː d e
sarra;s a r r a
sarti;s a r t i
sartude;s a r t u d e
sarude;s a r u d e
sarwetti;s a r w e t t i
sarwiisi;s a r w iː s i
sarwiisi gofernema;s a r w iː s i   ɡ o f e r n e m a
sarwiisi mawɗo;s a r w iː s i   m a w ɗ o
sarwiisi ndawranoowo;s a r w iː s i   n d a w r a n oː w o
sarwiisiiji sariya;s a r w iː s iː ɟ i   s a r i j a
sarwiisinke gofernema;s a r w iː s i n k e   ɡ o f e r n e m a
satalla;s a t a l l a
satti;s a t t i
sattinde;s a t t i n d e
sattiyo;s a t t i j o
sattude;s a t t u d e
sattuɗo;s a t t u ɗ o
sattuma;s a t t u m a
sawaara;s a w aː r a
sawawre;s a w a w r e
sawdu to ɓiɓɓe ndewaaku moƴƴintee;s a w d u   t o   ɓ i ɓ ɓ e   n d e w aː k u   m o ʔʲ ʔʲ i n t eː
sawnd-o;s a w n d - o
sawraade;s a w r aː d e
sawraare;s a w r aː r e
sawreede;s a w r eː d e
sawrinde;s a w r i n d e
sawrirde gite;s a w r i r d e   ɡ i t e
suuritinde leydim;s uː r i t i n d e   l e j d i m
suurtinde;s uː r t i n d e
suurtinirde;s uː r t i n i r d e
suurtude;s uː r t u d e
suurtugol;s uː r t u ɡ o l
suurude;s uː r u d e
suusinde;s uː s i n d e
suusude;s uː s u d e
suusuu;s uː s uː
suutinaade;s uː t i n aː d e
suuttude;s uː t t u d e
suuwtude;s uː w t u d e
suuwude;s uː w u d e
suuy(u)de;s uː j ( u ) d e
suuyde;s uː j d e
suwtaade;s u w t aː d e
suyre;s u j r e
suytere;s u j t e r e
suytude;s u j t u d e
taa;t aː
taabawal;t aː b a w a l
taaɓaade;t aː ɓ aː d e
taaɓannde;t aː ɓ a n n d e
taacooriire;t aː c oː r iː r e
taadaade;t aː d aː d e
taadeede;t aː d eː d e
taadol;t aː d o l
taadude;t aː d u d e
taadugol;t aː d u ɡ o l
taafude;t aː f u d e
taafude dow fewer;t aː f u d e   d o w   f e w e r
taafugol;t aː f u ɡ o l
taaji;t aː ɟ i
taakalemme;t aː k a l e m m e
taalibaajo;t aː l i b aː ɟ o
taaliwol;t aː l i w o l
taalol;t aː l o l
taalude;t aː l u d e
taaneere;t aː n eː r e
taaniiwo;t aː n iː w o
taanyude;t aː n j u d e
taaraade;t aː r aː d e
taarde;t aː r d e
taari1;t aː r i 1
taa;t aː
taabawal;t aː b a w a l
taaɓaade;t aː ɓ aː d e
taaɓannde;t aː ɓ a n n d e
taacooriire;t aː c oː r iː r e
taadaade;t aː d aː d e
taadeede;t aː d eː d e
taadol;t aː d o l
taadude;t aː d u d e
taadugol;t aː d u ɡ o l
taafude;t aː f u d e
taafude dow fewer;t aː f u d e   d o w   f e w e r
taafugol;t aː f u ɡ o l
taaji;t aː ɟ i
taakalemme;t aː k a l e m m e
taalibaajo;t aː l i b aː ɟ o
taaliwol;t aː l i w o l
taalol;t aː l o l
taalude;t aː l u d e
taaneere;t aː n eː r e
taaniiwo;t aː n iː w o
taanyude;t aː n j u d e
taaraade;t aː r aː d e
taarde;t aː r d e
taari1;t aː r i 1
taari2;t aː r i 2
taariki;t aː r i k i
taariki wawtu hanndeego;t aː r i k i   w a w t u   h a n n d eː ɡ o
taarikinke;t aː r i k i n k e
taariku nguurndam mbinndaaki;t aː r i k u   ŋ ɡ uː r n d a m   m b i n n d aː k i
taarol1;t aː r o l 1
taarol2;t aː r o l 2
taartaade;t aː r t aː d e
taartude;t aː r t u d e
taarude;t aː r u d e
taasawal;t aː s a w a l
taasiiri;t aː s iː r i
taataade;t aː t aː d e
taaynaandi;t aː j n aː n d i
taaynude;t aː j n u d e
taayude;t aː j u d e
taba1;t a b a 1
taba2;t a b a 2
tabanoonsonndo;t a b a n oː n s o n n d o
tabanoosonnde;t a b a n oː s o n n d e
tabintinanɗe;t a b i n t i n a n ɗ e
tabintinde;t a b i n t i n d e
tabit;t a b i t
tabital;t a b i t a l
tabitinde;t a b i t i n d e
taɓɓere;t a ɓ ɓ e r e
taccude;t a c c u d e
Tacko;t a c k o
Tadde;t a d d e
tafirgal;t a f i r ɡ a l
tafngo;t a f ŋ ɡ o
tafon;t a f o n
tafsirde;t a f s i r d e
tafude;t a f u d e
tagaadi;t a ɡ aː d i
tagaaɗo;t a ɡ aː ɗ o
tageede;t a ɡ eː d e
tageefo;t a ɡ eː f o
taggideede;t a ɡ ɡ i d eː d e
taggitinde;t a ɡ ɡ i t i n d e
taggude;t a ɡ ɡ u d e
tagu;t a ɡ u
tagude;t a ɡ u d e
tahen;t a h e n
tak;t a k
takaluuta;t a k a l uː t a
takay;t a k a j
takisaade;t a k i s aː d e
takkaade;t a k k aː d e
takkaaɗo;t a k k aː ɗ o
takkaajo;t a k k aː ɟ o
takkata;t a k k a t a
takkeede;t a k k eː d e
takkitaade;t a k k i t aː d e
takkitinnde;t a k k i t i n n d e
Takko;t a k k o
takkol;t a k k o l
takkondirde;t a k k o n d i r d e
takkude;t a k k u d e
takkuru ɗo inɗe gineeji mbinndaa;t a k k u r u   ɗ o   i n ɗ e   ɡ i n eː ɟ i   m b i n n d aː
takumselleehi;t a k u m s e l l eː h i
tal;t a l
Talaata;t a l aː t a
talaataare;t a l aː t aː r e
taliyaare;t a l i j aː r e
talka;t a l k a
talkaajo;t a l k aː ɟ o
talkaaku;t a l k aː k u
talki;t a l k i
talki sariya;t a l k i   s a r i j a
talkiɗinde;t a l k i ɗ i n d e
talkuru;t a l k u r u
talkuru annditirdu neɗɗo;t a l k u r u   a n n d i t i r d u   n e ɗ ɗ o
talkuru gosoowo kasirdu;t a l k u r u   ɡ o s oː w o   k a s i r d u
talkuru hollooru ko neɗɗo woni;t a l k u r u   h o l l oː r u   k o   n e ɗ ɗ o   w o n i
talkuru inɗe wottotooɓe;t a l k u r u   i n ɗ e   w o t t o t oː ɓ e
talkuru komanndi;t a l k u r u   k o m a n n d i
talkuru kumpital;t a l k u r u   k u m p i t a l
talkuru kumpital batu;t a l k u r u   k u m p i t a l   b a t u
talkuru naatirdu partii;t a l k u r u   n aː t i r d u   p a r t iː
talkuru njoɓdi;t a l k u r u   n ɟ o ɓ d i
talkuru noddirdu ɗo gosoowo;t a l k u r u   n o d d i r d u   ɗ o   ɡ o s oː w o
talkuru rimeede;t a l k u r u   r i m eː d e
talkuru seede;t a l k u r u   s eː d e
talkuru wotto;t a l k u r u   w o t t o
talkuru wottordu;t a l k u r u   w o t t o r d u
talla;t a l l a
tallaade;t a l l aː d e
tallitaade;t a l l i t aː d e
tallude;t a l l u d e
tamaade;t a m aː d e
tamaatiire;t a m aː t iː r e
tamboroohi;t a m b o r oː h i
tamboroore;t a m b o r oː r e
tambude;t a m b u d e
tame;t a m e
tammbaade;t a m m b aː d e
tammbannde;t a m m b a n n d e
tammbitinde;t a m m b i t i n d e
tammbude;t a m m b u d e
tammere;t a m m e r e
tamminyoonaawu;t a m m i n j oː n aː w u
tammisaade;t a m m i s aː d e
tamnde;t a m n d e
tampaanuwol;t a m p aː n u w o l
tampaliila;t a m p a l iː l a
tampinde;t a m p i n d e
tampinere;t a m p i n e r e
tampingol;t a m p i ŋ ɡ o l
tampinta;t a m p i n t a
tampiri;t a m p i r i
tampude;t a m p u d e
tamre;t a m r e
tamre junngo;t a m r e   ɟ u n ŋ ɡ o
tamtamtude;t a m t a m t u d e
tamƴude;t a m ʔʲ u d e
tan;t a n
tanaa;t a n aː
tangarawal;t a ŋ ɡ a r a w a l
tannere;t a n n e r e
tanni;t a n n i
tanno;t a n n o
tannyaade;t a n n j aː d e
tannyaare;t a n n j aː r e
tannyoral;t a n n j o r a l
tannyorde;t a n n j o r d e
tanson jippotooɗo;t a n s o n   ɟ i p p o t oː ɗ o
tanson ƴeenyo;t a n s o n   ʔʲ eː n j o
tantabaraaru;t a n t a b a r aː r u
tantannguli jammbere;t a n t a n ŋ ɡ u l i   ɟ a m m b e r e
tappaade;t a p p aː d e
tappiire;t a p p iː r e
tappirgal;t a p p i r ɡ a l
tappude;t a p p u d e
tapsiiru;t a p s iː r u
tar-a daande dow;t a r - a   d aː n d e   d o w
tar-a daande lees;t a r - a   d aː n d e   l eː s
taray;t a r a j
targambasi;t a r ɡ a m b a s i
tariyaare;t a r i j aː r e
taro;t a r o
taro aan tan;t a r o   aː n   t a n
taro maandinngo;t a r o   m aː n d i n ŋ ɡ o
taro regiingo;t a r o   r e ɡ iː ŋ ɡ o
taro sakkitiingo;t a r o   s a k k i t iː ŋ ɡ o
taro seernaawo;t a r o   s eː r n aː w o
tarr;t a r r
tarwaade;t a r w aː d e
tarwudi;t a r w u d i
tasbiihi;t a s b iː h i
taskaade;t a s k aː d e
tataɓo;t a t a ɓ o
tatɓit-a;t a t ɓ i t - a
tatɓital;t a t ɓ i t a l
tati;t a t i
tatii;t a t iː
tatiiri;t a t iː r i
tatiwa jubbol beƴ;t a t i w a   ɟ u b b o l   b e ʔʲ
tatiwal;t a t i w a l
tatiwal ɓolal;t a t i w a l   ɓ o l a l
tatiwal daringal;t a t i w a l   d a r i ŋ ɡ a l
tatiwal potal;t a t i w a l   p o t a l
tatiwal tiba;t a t i w a l   t i b a
tatiyal dartiingal;t a t i j a l   d a r t iː ŋ ɡ a l
tato;t a t o
tatoy;t a t o j
tatte;t a t t e
taw;t a w
tawaaɗum;t a w aː ɗ u m
tawaaka;t a w aː k a
tawaangal;t a w aː ŋ ɡ a l
tawam;t a w a m
taweede;t a w eː d e
tawhiidi;t a w h iː d i
Tawreeta;t a w r eː t a
Tawreeta Ɗiɗaɓerde;t a w r eː t a   ɗ i ɗ a ɓ e r d e
tawsaade;t a w s aː d e
tawsaajo;t a w s aː ɟ o
tawtinde;t a w t i n d e
tawude;t a w u d e
taybiihi;t a j b iː h i
taybiyon;t a j b i j o n
tayka;t a j k a
taykaade;t a j k aː d e
taykaaɗe;t a j k aː ɗ e
tayre;t a j r e
tayre (binndi);t a j r e   ( b i n n d i )
tayre sayre;t a j r e   s a j r e
tayre winndannde;t a j r e   w i n n d a n n d e
taƴaade;t a ʔʲ aː d e
taƴitaade;t a ʔʲ i t aː d e
taƴoral;t a ʔʲ o r a l
taƴorde;t a ʔʲ o r d e
taƴude;t a ʔʲ u d e
taƴude licce;t a ʔʲ u d e   l i c c e
taƴugol haala1;t a ʔʲ u ɡ o l   h aː l a 1
taƴugol haala2;t a ʔʲ u ɡ o l   h aː l a 2
teɓɓaare;t e ɓ ɓ aː r e
teɓɓude;t e ɓ ɓ u d e
teddeefi;t e d d eː f i
teddeendi;t e d d eː n d i
teddeengal;t e d d eː ŋ ɡ a l
teddinaaɗo;t e d d i n aː ɗ o
teddinde;t e d d i n d e
teddineede;t e d d i n eː d e
teddinnde;t e d d i n n d e
teddinngol;t e d d i n ŋ ɡ o l
teddinoowo;t e d d i n oː w o
teddude;t e d d u d e
tedduɗo;t e d d u ɗ o
teddungal;t e d d u ŋ ɡ a l
teegorgal;t eː ɡ o r ɡ a l
teeku;t eː k u
teeleende;t eː l eː n d e
teelorgal;t eː l o r ɡ a l
teeltidinde;t eː l t i d i n d e
teeltineede;t eː l t i n eː d e
teeltude;t eː l t u d e
teelude;t eː l u d e
teemaade;t eː m aː d e
teemedere;t eː m e d e r e
teeneere;t eː n eː r e
teenude;t eː n u d e
teeŋiinde;t eː ŋ iː n d e
teeŋinde;t eː ŋ i n d e
tuuninde;t uː n i n d e
tuuningol piilki;t uː n i ŋ ɡ o l   p iː l k i
tuunude;t uː n u d e
tuure;t uː r e
tuurisismi;t uː r i s i s m i
tuusaade;t uː s aː d e
tuuseede;t uː s eː d e
tuusude;t uː s u d e
tuute;t uː t e
tuuttude;t uː t t u d e
tuutude;t uː t u d e
tuwam;t u w a m
tuƴƴam;t u ʔʲ ʔʲ a m
tuƴƴude;t u ʔʲ ʔʲ u d e
uddaade;u d d aː d e
uddirgal;u d d i r ɡ a l
udditaade;u d d i t aː d e
udditii;u d d i t iː
udditinde;u d d i t i n d e
uddoode;u d d oː d e
uddude;u d d u d e
ufaango;u f aː ŋ ɡ o
ufeede;u f eː d e
ufirde;u f i r d e
ufude;u f u d e
ujiri;u ɟ i r i
ujude;u ɟ u d e
ujunere;u ɟ u n e r e
ujunereeru;u ɟ u n e r eː r u
ujunewal;u ɟ u n e w a l
ujuuru;u ɟ uː r u
ukkaade;u k k aː d e
ukkude;u k k u d e
ulgu;u l ɡ u
ulude;u l u d e
umaru-bootooji;u m a r u - b oː t oː ɟ i
ummaade;u m m aː d e
ummagol;u m m a ɡ o l
ummanaade;u m m a n aː d e
uddaade;u d d aː d e
uddirgal;u d d i r ɡ a l
udditaade;u d d i t aː d e
udditii;u d d i t iː
udditinde;u d d i t i n d e
uddoode;u d d oː d e
uddude;u d d u d e
ufaango;u f aː ŋ ɡ o
ufeede;u f eː d e
ufirde;u f i r d e
ufude;u f u d e
ujiri;u ɟ i r i
ujude;u ɟ u d e
ujunere;u ɟ u n e r e
ujunereeru;u ɟ u n e r eː r u
ujunewal;u ɟ u n e w a l
ujuuru;u ɟ uː r u
ukkaade;u k k aː d e
ukkude;u k k u d e
ulgu;u l ɡ u
ulude;u l u d e
umaru-bootooji;u m a r u - b oː t oː ɟ i
ummaade;u m m aː d e
ummagol;u m m a ɡ o l
ummanaade;u m m a n aː d e
umminde;u m m i n d e
ummingol haala na yoni naa yonaa;u m m i ŋ ɡ o l   h aː l a   n a   j o n i   n aː   j o n aː
ummintinde;u m m i n t i n d e
ummitaade;u m m i t aː d e
umroore;u m r oː r e
umsaango;u m s aː ŋ ɡ o
umsude;u m s u d e
undugal;u n d u ɡ a l
unndaade;u n n d aː d e
unndagol;u n n d a ɡ o l
unndinde;u n n d i n d e
unorde e lumnorde;u n o r d e   e   l u m n o r d e
unude;u n u d e
uppude;u p p u d e
uppundi;u p p u n d i
Ur;u r
urdi;u r d i
urfinaade;u r f i n aː d e
urkeewu;u r k eː w u
urnata;u r n a t a
uru;u r u
urude;u r u d e
Urusaliima;u r u s a l iː m a
ust-a;u s t - a
ustaandi;u s t aː n d i
ustugol;u s t u ɡ o l
usu;u s u
usuru;u s u r u
uugaade;uː ɡ aː d e
uugorde;uː ɡ o r d e
uulo;uː l o
uumude;uː m u d e
uur;uː r
uurdi;uː r d i
uurnaade;uː r n aː d e
uurngol e lumngol;uː r ŋ ɡ o l   e   l u m ŋ ɡ o l
uurnude;uː r n u d e
uurude;uː r u d e
uutude;uː t u d e
uweede;u w eː d e
uwirde;u w i r d e
uwude;u w u d e
uwugol;u w u ɡ o l
vitamin;v i t a m i n
wa'ude;w a ʔ u d e
wa'ugol;w a ʔ u ɡ o l
wa’ude;w a ’ u d e
waadere;w aː d e r e
waafaade;w aː f aː d e
waagiɗinde;w aː ɡ i ɗ i n d e
waajaade;w aː ɟ aː d e
waajibaade;w aː ɟ i b aː d e
waajibaaku;w aː ɟ i b aː k u
waajibi;w aː ɟ i b i
waajinbinde;w aː ɟ i n b i n d e
waaju;w aː ɟ u
waalaade;w aː l aː d e
waalaare;w aː l aː r e
waalde1;w aː l d e 1
waalde2;w aː l d e 2
waalde gofernemaaji;w aː l d e   ɡ o f e r n e m aː ɟ i
waalde mawnde nde gofernema joƴƴinay;w aː l d e   m a w n d e   n d e   ɡ o f e r n e m a   ɟ o ʔʲ ʔʲ i n a j
waalde njeɗɗe;w aː l d e   n ɟ e ɗ ɗ e
waaldeere1;w aː l d eː r e 1
waaldude;w aː l d u d e
waalirde;w aː l i r d e
waaliyal;w aː l i j a l
waalnude;w aː l n u d e
waaltaade;w aː l t aː d e
wa'ude;w a ʔ u d e
wa'ugol;w a ʔ u ɡ o l
wa’ude;w a ’ u d e
waadere;w aː d e r e
waafaade;w aː f aː d e
waagiɗinde;w aː ɡ i ɗ i n d e
waajaade;w aː ɟ aː d e
waajibaade;w aː ɟ i b aː d e
waajibaaku;w aː ɟ i b aː k u
waajibi;w aː ɟ i b i
waajinbinde;w aː ɟ i n b i n d e
waaju;w aː ɟ u
waalaade;w aː l aː d e
waalaare;w aː l aː r e
waalde1;w aː l d e 1
waalde2;w aː l d e 2
waalde gofernemaaji;w aː l d e   ɡ o f e r n e m aː ɟ i
